,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,-0.9873866535578852,1,0,-2.136069546678648,S,Third,man,True,Southampton,no,False,1
2,1,3,female,-0.7963314167951762,0,0,-2.0470486957818874,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,-0.46608972992459924,1,0,-0.1448940872973386,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,-0.46608972992459924,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
5,0,3,male,-0.6471951147908197,0,0,-1.9819228077458548,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,0.0,0,0,-0.16847502988624555,S,First,man,True,Southampton,no,True,0
8,1,3,female,-0.7537718023763802,0,2,-1.7071303982471446,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,-1.5339303599259553,1,0,-0.7135164143093983,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,-3.9318256327243257,1,1,-1.3016622961225222,S,Third,child,False,Southampton,yes,False,2
12,0,3,male,-1.0986122886681098,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
13,0,3,male,-0.34830669426821587,1,5,-0.674251959192257,S,Third,man,True,Southampton,no,False,6
14,0,3,female,-1.5339303599259553,0,0,-2.0560225949822875,S,Third,child,False,Southampton,no,True,0
17,1,2,male,-0.6471951147908197,0,0,-1.552121658083695,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,-0.5996211225491219,1,0,-1.226699257649067,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,-0.6471951147908197,0,0,-2.139523781546736,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,-0.46608972992459924,0,0,-0.8589744775237497,S,Second,man,True,Southampton,no,True,0
21,1,2,male,-0.4978384282391796,0,0,-1.552121658083695,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,-1.4469189829363254,0,0,-2.0339861189505974,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,-0.7129498078561249,0,0,-0.5475383190638616,S,First,man,True,Southampton,yes,True,0
24,0,3,female,-2.322387720290225,3,1,-1.0689835116573125,S,Third,child,False,Southampton,no,False,4
25,1,3,female,-0.3764775712349121,1,5,-0.6706612910615284,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,-0.6471951147908197,0,0,-2.139523781546736,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,-0.6471951147908197,0,0,-2.0528446396718762,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,-0.6471951147908197,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
30,0,1,male,-0.3209077200801014,0,0,-0.7948879816111118,C,First,man,True,Cherbourg,no,True,0
32,1,3,female,-0.6471951147908197,0,0,-2.069378172179976,Q,Third,woman,False,Queenstown,yes,True,0
35,0,1,male,-0.2682639865946794,1,0,-0.16582729696380435,S,First,man,True,Southampton,no,False,1
36,1,3,male,-0.6471951147908197,0,0,-2.1389426355658854,C,Third,man,True,Cherbourg,yes,True,0
37,0,3,male,-1.0414538748281612,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
38,0,3,female,-1.2237754316221159,2,0,-1.226699257649067,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,-1.5339303599259553,1,0,-1.6974409369645407,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,-0.3209077200801014,1,0,-1.8684142645767419,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,-0.7537718023763802,1,0,-1.0725485778218087,S,Second,woman,False,Southampton,no,False,1
42,0,3,male,-0.6471951147908197,0,0,-2.0507400430154914,C,Third,man,True,Cherbourg,no,True,0
43,1,2,female,-inf,1,2,-0.38947097331969643,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,-1.1592369104845446,0,0,-2.0528446396718762,Q,Third,woman,False,Queenstown,yes,True,0
45,0,3,male,-0.6471951147908197,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
46,0,3,male,-0.6471951147908197,1,0,-1.3762309916200308,Q,Third,man,True,Queenstown,no,False,1
48,0,3,male,-0.6471951147908197,2,0,-1.0407177400236254,C,Third,man,True,Cherbourg,no,False,2
49,0,3,female,-1.2237754316221159,1,0,-1.2378725582471921,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,-2.545531271604435,4,1,-0.43603473889232136,S,Third,child,False,Southampton,no,False,5
51,0,3,male,-1.0414538748281612,0,0,-2.0629472818496857,S,Third,man,True,Southampton,no,True,0
53,1,2,female,-0.6737290947028438,1,0,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
55,1,1,male,-0.6471951147908197,0,0,-0.5475383190638616,S,First,man,True,Southampton,yes,True,0
56,1,2,female,-1.0414538748281612,0,0,-1.765695758381754,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,-0.6931471805599453,0,0,-2.1389426355658854,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,-3.2386784521643803,1,2,-0.7938351753527881,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,-1.8523840910444898,5,2,-0.26905334009299814,S,Third,child,False,Southampton,no,False,7
60,0,3,male,-0.9873866535578852,0,0,-2.1389426355658854,C,Third,man,True,Cherbourg,no,True,0
63,0,3,male,-3.9318256327243257,3,2,-0.7884443267179118,S,Third,child,False,Southampton,no,False,5
64,0,1,male,-0.6471951147908197,0,0,-0.7948879816111118,C,First,man,True,Cherbourg,no,True,0
65,1,3,male,-0.6471951147908197,1,1,-1.3927669602601305,C,Third,man,True,Cherbourg,yes,False,2
66,1,2,female,-0.6737290947028438,0,0,-1.765695758381754,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,-1.1592369104845446,0,0,-2.0180352016069527,S,Third,man,True,Southampton,no,True,0
68,1,3,female,-1.2927683031090673,4,2,-2.0470486957818874,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,-0.7963314167951762,2,0,-1.95806765102921,S,Third,man,True,Southampton,no,False,2
70,0,2,male,-0.5645298027378518,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
71,0,3,female,-1.3668762752627892,5,2,-0.26905334009299814,S,Third,woman,False,Southampton,no,False,7
73,0,3,male,-0.7963314167951762,1,0,-1.4460859857800346,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,-0.5645298027378518,0,0,-0.08290471643910076,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,-0.84078317936601,0,0,-2.082365367706787,S,Third,man,True,Southampton,no,True,0
79,1,3,female,-0.6359887667199967,0,0,-1.5933443739076494,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,-0.9873866535578852,0,0,-1.9198464382090124,S,Third,man,True,Southampton,no,True,0
81,1,3,male,-0.6737290947028438,0,0,-1.8657792169387366,S,Third,man,True,Southampton,yes,True,0
82,1,3,female,-0.6471951147908197,0,0,-2.0645511314316605,Q,Third,woman,False,Queenstown,yes,True,0
83,0,1,male,-0.7129498078561249,0,0,-0.26479801452285967,S,First,man,True,Southampton,no,True,0
84,1,2,female,-1.2927683031090673,0,0,-1.765695758381754,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,-0.5306282510621704,3,0,-1.353901515221942,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,-1.3668762752627892,1,3,-0.5797414595584964,S,Third,man,True,Southampton,no,False,4
89,0,3,male,-0.8873031950009028,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
90,0,3,male,-0.6737290947028438,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
91,0,3,male,-1.0986122886681098,0,0,-2.0560225949822875,S,Third,man,True,Southampton,no,True,0
92,0,1,male,-0.17062551703076334,1,0,-0.0033324062164964093,S,First,man,True,Southampton,no,False,1
93,0,3,male,-0.7963314167951762,1,2,-1.0929942689820984,S,Third,man,True,Southampton,no,False,3
98,1,2,female,-0.4978384282391796,0,1,-0.981576799616082,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,-0.4978384282391796,1,0,-0.8589744775237497,S,Second,man,True,Southampton,no,False,1
100,0,3,female,-0.7129498078561249,0,0,-2.0507400430154914,S,Third,woman,False,Southampton,no,True,0
103,0,3,male,-0.5306282510621704,0,0,-1.9590262633093325,S,Third,man,True,Southampton,no,True,0
104,0,3,male,-0.40546510810816444,2,0,-2.0470486957818874,S,Third,man,True,Southampton,no,False,2
105,0,3,male,-0.7129498078561249,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
106,1,3,female,-1.0414538748281612,0,0,-2.082365367706787,S,Third,woman,False,Southampton,yes,True,0
107,1,3,male,-0.6471951147908197,0,0,-2.066157557479934,S,Third,man,True,Southampton,yes,True,0
108,0,3,male,-0.3764775712349121,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
109,1,3,female,-0.6471951147908197,1,0,-0.9327866354466501,Q,Third,woman,False,Queenstown,yes,False,1
110,0,1,male,-0.14763599880606468,0,0,-0.16582729696380435,S,First,man,True,Southampton,no,True,0
111,0,3,female,-1.4894785973551214,1,0,-1.4460859857800346,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,-0.9873866535578852,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
113,0,3,female,-1.0986122886681098,1,0,-1.8321408577899068,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,-1.2927683031090673,0,0,-1.44580237142448,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,-1.0414538748281612,0,0,-2.0470486957818874,S,Third,man,True,Southampton,no,True,0
117,0,2,male,-0.6737290947028438,1,0,-1.0725485778218087,S,Second,man,True,Southampton,no,False,1
122,0,2,male,-0.5474353693785518,1,0,-0.7135164143093983,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,-0.5474353693785518,0,0,-1.552121658083695,S,Second,woman,False,Southampton,yes,True,0
125,1,3,male,-1.7346010553881064,1,0,-1.6974409369645407,C,Third,child,False,Cherbourg,yes,False,1
126,0,3,male,-0.6471951147908197,0,0,-2.069378172179976,Q,Third,man,True,Queenstown,no,True,0
127,1,3,male,-0.8873031950009028,0,0,-2.1511201722958164,S,Third,man,True,Southampton,yes,True,0
128,1,3,female,-0.6471951147908197,1,1,-1.0098733987711959,C,Third,woman,False,Cherbourg,yes,False,2
129,0,3,male,-0.1941560144409575,0,0,-2.1747386878378023,S,Third,man,True,Southampton,no,True,0
130,0,3,male,-0.5306282510621704,0,0,-2.0507400430154914,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,-1.0986122886681098,0,0,-2.1640433987210543,S,Third,man,True,Southampton,no,True,0
132,0,3,female,-0.14763599880606468,1,0,-1.442922366118703,S,Third,woman,False,Southampton,no,False,1
134,0,2,male,-0.84078317936601,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
135,0,2,male,-0.9360933591703348,0,0,-1.4059721330650026,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,-1.1592369104845446,0,2,-0.8481372590359162,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,-0.40546510810816444,1,0,-0.1448940872973386,S,First,man,True,Southampton,no,False,1
138,0,3,male,-1.3668762752627892,0,0,-1.8960539596150097,S,Third,man,True,Southampton,no,True,0
140,0,3,female,-0.6471951147908197,0,2,-1.3927669602601305,C,Third,woman,False,Cherbourg,no,False,2
141,1,3,female,-0.9873866535578852,0,0,-2.069378172179976,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,-0.8873031950009028,1,0,-1.353901515221942,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,-1.1592369104845446,0,0,-2.207528510660793,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,-1.2237754316221159,0,0,-1.6747239801760272,S,Second,man,True,Southampton,no,True,0
145,0,2,male,-1.1592369104845446,1,1,-0.512932789886386,S,Second,man,True,Southampton,no,False,2
146,1,3,male,-0.7537718023763802,0,0,-2.063485888410623,S,Third,man,True,Southampton,yes,True,0
147,0,3,female,-2.1400661634962708,2,2,-0.5797414595584964,S,Third,child,False,Southampton,no,False,4
148,0,2,male,-0.420280193893305,0,2,-0.8589744775237497,S,Second,man,True,Southampton,no,False,2
149,0,2,male,-0.2682639865946794,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
150,0,2,male,-0.060624621816434854,0,0,-1.5893443685743032,S,Second,man,True,Southampton,no,True,0
153,0,3,male,-0.3074846997479607,0,2,-1.442922366118703,S,Third,man,True,Southampton,no,False,2
154,0,3,male,-0.6471951147908197,0,0,-2.1274858029872568,S,Third,man,True,Southampton,no,True,0
155,0,1,male,-0.060624621816434854,0,1,0.0,C,First,man,True,Cherbourg,no,False,1
156,1,3,female,-1.3668762752627892,0,0,-2.0715353358951942,Q,Third,woman,False,Queenstown,yes,True,0
157,0,3,male,-0.6359887667199967,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
158,0,3,male,-0.6471951147908197,0,0,-1.95806765102921,S,Third,man,True,Southampton,no,True,0
160,0,3,male,-0.21825356602001794,0,1,-1.3382517435548142,S,Third,man,True,Southampton,no,False,1
161,1,2,female,-0.3209077200801014,0,0,-1.3602306502735897,S,Second,woman,False,Southampton,yes,True,0
162,0,3,male,-0.7963314167951762,0,0,-2.066157557479934,S,Third,man,True,Southampton,no,True,0
163,0,3,male,-1.2927683031090673,0,0,-1.95806765102921,S,Third,man,True,Southampton,no,True,0
165,1,3,male,-2.1400661634962708,0,2,-1.09542736020674,S,Third,child,False,Southampton,yes,False,2
166,1,1,female,-0.6471951147908197,0,1,-0.1097378303127608,S,First,woman,False,Southampton,yes,False,1
167,0,3,female,-0.1941560144409575,1,4,-0.7884443267179118,S,Third,woman,False,Southampton,no,False,5
168,0,1,male,-0.6471951147908197,0,0,-0.8618632614296406,S,First,man,True,Southampton,no,True,0
169,0,3,male,-0.7129498078561249,0,0,-0.08290471643910076,S,Third,man,True,Southampton,no,True,0
171,0,3,male,-3.9318256327243257,4,1,-0.7454741036593671,Q,Third,child,False,Queenstown,no,False,5
175,0,3,male,-1.2237754316221159,1,1,-2.0560225949822875,S,Third,man,True,Southampton,no,False,2
176,0,3,male,-0.6471951147908197,3,1,-0.8796992991411997,S,Third,man,True,Southampton,no,False,4
177,0,1,female,-0.08167803101426724,0,0,-0.7597384475300152,C,First,woman,False,Cherbourg,no,True,0
178,0,2,male,-0.6359887667199967,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
179,0,3,male,-0.43531807125784566,0,0,-inf,S,Third,man,True,Southampton,no,True,0
181,0,2,male,-0.6471951147908197,0,0,-1.405693024350347,C,Second,man,True,Cherbourg,no,True,0
182,0,3,male,-2.1400661634962708,4,2,-0.6706612910615284,S,Third,child,False,Southampton,no,False,6
184,1,3,female,-3.9318256327243257,0,2,-1.0248928437229887,S,Third,child,False,Southampton,yes,False,2
185,0,1,male,-0.6471951147908197,0,0,-0.20504801011708573,S,First,man,True,Southampton,no,True,0
186,1,3,female,-0.6471951147908197,1,0,-1.3762309916200308,Q,Third,woman,False,Queenstown,yes,False,1
187,1,1,male,-0.1941560144409575,0,0,-0.838041267857284,S,First,man,True,Southampton,yes,True,0
188,0,3,male,-0.3209077200801014,1,1,-1.3762309916200308,Q,Third,man,True,Queenstown,no,False,2
189,0,3,male,-0.43531807125784566,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
190,1,2,female,-0.5645298027378518,0,0,-1.552121658083695,S,Second,woman,False,Southampton,yes,True,0
191,0,2,male,-1.1592369104845446,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
192,1,3,female,-1.1592369104845446,1,0,-2.0560225949822875,S,Third,woman,False,Southampton,yes,False,1
193,1,2,male,-inf,1,1,-0.8589744775237497,S,Second,child,False,Southampton,yes,False,2
194,1,1,female,-0.21825356602001794,0,0,-0.7948879816111118,C,First,woman,False,Cherbourg,yes,True,0
197,0,3,male,-0.2682639865946794,0,1,-1.9883394346543128,S,Third,man,True,Southampton,no,False,1
199,0,2,female,-0.8873031950009028,0,0,-1.552121658083695,S,Second,woman,False,Southampton,no,True,0
200,0,3,male,-0.7129498078561249,0,0,-1.8657792169387366,S,Third,man,True,Southampton,no,True,0
202,0,3,male,-0.4978384282391796,0,0,-2.2459152013371604,S,Third,man,True,Southampton,no,True,0
203,0,3,male,-0.1823215567939547,0,0,-2.139523781546736,C,Third,man,True,Cherbourg,no,True,0
204,1,3,male,-1.2237754316221159,0,0,-2.0313989241147596,S,Third,man,True,Southampton,yes,True,0
206,0,3,male,-0.5645298027378518,1,0,-1.353901515221942,S,Third,man,True,Southampton,no,False,1
207,1,3,male,-0.7963314167951762,0,0,-1.1838792604661388,C,Third,man,True,Cherbourg,yes,True,0
208,1,3,female,-1.3668762752627892,0,0,-2.069378172179976,Q,Third,woman,False,Queenstown,yes,True,0
209,1,1,male,-0.3209077200801014,0,0,-0.6830838110600855,C,First,man,True,Cherbourg,yes,True,0
210,0,3,male,-0.8873031950009028,0,0,-2.1640433987210543,S,Third,man,True,Southampton,no,True,0
211,1,2,female,-0.46608972992459924,0,0,-1.0725485778218087,S,Second,woman,False,Southampton,yes,True,0
212,0,3,male,-0.9873866535578852,0,0,-2.136069546678648,S,Third,man,True,Southampton,no,True,0
214,0,3,male,-0.6471951147908197,1,0,-2.069378172179976,Q,Third,man,True,Queenstown,no,False,1
216,1,3,female,-0.7537718023763802,0,0,-2.0470486957818874,S,Third,woman,False,Southampton,yes,True,0
217,0,2,male,-0.2682639865946794,1,0,-0.8212341495409027,S,Second,man,True,Southampton,no,False,1
219,0,2,male,-0.6359887667199967,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
220,1,3,male,-1.3668762752627892,0,0,-2.0313989241147596,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,-0.7537718023763802,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
222,0,3,male,-0.060624621816434854,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
225,0,3,male,-0.9873866535578852,0,0,-1.8816946722446362,S,Third,man,True,Southampton,no,True,0
226,1,2,male,-1.1592369104845446,0,0,-1.765695758381754,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,-1.0696247517948574,0,0,-2.136069546678648,S,Third,man,True,Southampton,no,True,0
228,0,2,male,-1.2237754316221159,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
229,0,3,female,-0.6471951147908197,3,1,-0.8796992991411997,S,Third,woman,False,Southampton,no,False,4
231,0,3,male,-0.6737290947028438,0,0,-2.066157557479934,S,Third,man,True,Southampton,no,True,0
233,1,3,female,-3.2386784521643803,4,2,-0.6706612910615284,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,-0.8873031950009028,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
235,0,3,female,-0.6471951147908197,0,0,-2.0955234522842985,S,Third,woman,False,Southampton,no,True,0
236,0,2,male,-0.21825356602001794,1,0,-0.8589744775237497,S,Second,man,True,Southampton,no,False,1
237,1,2,female,-2.322387720290225,0,2,-0.849405026507599,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,-1.1592369104845446,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
239,0,2,male,-0.5306282510621704,0,0,-1.6095063418646474,S,Second,man,True,Southampton,no,True,0
240,0,3,female,-0.6471951147908197,1,0,-1.4460859857800346,C,Third,woman,False,Cherbourg,no,False,1
242,0,2,male,-0.6737290947028438,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
243,0,3,male,-0.9873866535578852,0,0,-2.1534612893905174,S,Third,man,True,Southampton,no,True,0
244,0,3,male,-0.6359887667199967,0,0,-2.139523781546736,C,Third,man,True,Cherbourg,no,True,0
246,0,3,female,-0.84078317936601,0,0,-2.066157557479934,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,-0.8873031950009028,0,2,-1.442922366118703,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,-0.40546510810816444,1,1,-0.1552259975339978,S,First,man,True,Southampton,yes,False,2
249,0,2,male,0.0,1,0,-0.8589744775237497,S,Second,man,True,Southampton,no,False,1
250,0,3,male,-0.6471951147908197,0,0,-2.136069546678648,S,Third,man,True,Southampton,no,True,0
251,0,3,female,-0.6737290947028438,1,1,-1.769273579729638,S,Third,woman,False,Southampton,no,False,2
253,0,3,male,-0.6359887667199967,1,0,-1.3382517435548142,S,Third,man,True,Southampton,no,False,1
254,0,3,female,-0.29423947299793995,0,2,-1.1107697906420066,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,-0.6737290947028438,0,2,-1.3927669602601305,C,Third,woman,False,Cherbourg,yes,False,2
259,1,2,female,-0.08167803101426724,0,1,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
261,1,3,male,-inf,4,2,-0.6706612910615284,S,Third,child,False,Southampton,yes,False,6
263,0,1,male,-0.3209077200801014,0,0,-inf,S,First,man,True,Southampton,no,True,0
264,0,3,female,-0.6471951147908197,0,0,-2.069378172179976,Q,Third,woman,False,Queenstown,no,True,0
265,0,2,male,-0.43531807125784566,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
266,0,3,male,-1.3668762752627892,4,1,-0.43603473889232136,S,Third,man,True,Southampton,no,False,5
267,1,3,male,-0.84078317936601,1,0,-2.066157557479934,S,Third,man,True,Southampton,yes,False,1
