,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
270,0,1,male,-0.6471951147908197,0,0,-0.6830838110600855,S,First,man,True,Southampton,no,True,0
271,1,3,male,-0.84078317936601,0,0,-inf,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,-0.29423947299793995,0,1,-1.1466565499755306,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,-0.40546510810816444,0,1,-0.7259239697365779,C,First,man,True,Cherbourg,no,False,1
276,0,3,female,-0.1941560144409575,0,0,-2.069378172179976,S,Third,woman,False,Southampton,no,True,0
277,0,2,male,-0.6471951147908197,0,0,-inf,S,Second,man,True,Southampton,no,True,0
278,0,3,male,-2.545531271604435,4,1,-0.7454741036593671,Q,Third,child,False,Queenstown,no,False,5
279,1,3,female,-0.46608972992459924,1,1,-1.1089162219926836,S,Third,woman,False,Southampton,yes,False,2
281,0,3,male,-0.7129498078561249,0,0,-2.0560225949822875,S,Third,man,True,Southampton,no,True,0
282,0,3,male,-1.3668762752627892,0,0,-1.8657792169387366,S,Third,man,True,Southampton,no,True,0
283,1,3,male,-1.1592369104845446,0,0,-2.0313989241147596,S,Third,man,True,Southampton,yes,True,0
284,0,1,male,-0.6471951147908197,0,0,-0.8589744775237497,S,First,man,True,Southampton,no,True,0
285,0,3,male,-0.5306282510621704,0,0,-1.95806765102921,C,Third,man,True,Cherbourg,no,True,0
286,1,3,male,-0.6359887667199967,0,0,-1.8657792169387366,S,Third,man,True,Southampton,yes,True,0
287,0,3,male,-0.9873866535578852,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
288,1,2,male,-0.2682639865946794,0,0,-1.552121658083695,S,Second,man,True,Southampton,yes,True,0
289,1,3,female,-0.9873866535578852,0,0,-2.069378172179976,Q,Third,woman,False,Queenstown,yes,True,0
292,0,2,male,-0.43531807125784566,0,0,-1.5617835689954318,C,Second,man,True,Cherbourg,no,True,0
293,0,3,female,-0.8873031950009028,0,0,-1.9366535565253935,S,Third,woman,False,Southampton,no,True,0
294,0,3,male,-0.8873031950009028,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
296,0,3,male,-0.9114007465799634,0,0,-2.1389426355658854,C,Third,man,True,Cherbourg,no,True,0
298,1,1,male,-0.6471951147908197,0,0,-0.6993443319318657,S,First,man,True,Southampton,yes,True,0
301,1,3,male,-0.6471951147908197,2,0,-0.9707658835118664,Q,Third,man,True,Queenstown,yes,False,2
302,0,3,male,-1.1592369104845446,0,0,-inf,S,Third,man,True,Southampton,no,True,0
303,1,2,female,-0.6471951147908197,0,0,-1.6034149524712455,Q,Second,woman,False,Queenstown,yes,True,0
308,0,2,male,-0.6359887667199967,1,0,-0.9390171851972862,C,Second,man,True,Cherbourg,no,False,1
309,1,1,female,-0.6359887667199967,0,0,-0.0752626250259614,C,First,woman,False,Cherbourg,yes,True,0
312,0,2,female,-0.7963314167951762,1,1,-0.8589744775237497,S,Second,woman,False,Southampton,no,False,2
314,0,2,male,-0.24294617861038947,1,1,-0.849405026507599,S,Second,man,True,Southampton,no,False,2
315,1,3,female,-0.7963314167951762,0,0,-2.0560225949822875,S,Third,woman,False,Southampton,yes,True,0
316,1,2,female,-0.8873031950009028,1,0,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
317,0,2,male,0.0,0,0,-1.4780136859299733,S,Second,man,True,Southampton,no,True,0
321,0,3,male,-0.7537718023763802,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
322,1,2,female,-0.6359887667199967,0,0,-1.6034149524712455,Q,Second,woman,False,Queenstown,yes,True,0
323,1,2,female,-0.9873866535578852,1,1,-0.7497751855587577,S,Second,woman,False,Southampton,yes,False,2
327,1,2,female,-0.43531807125784566,0,0,-1.552121658083695,S,Second,woman,False,Southampton,yes,True,0
328,1,3,female,-0.5996211225491219,1,1,-1.09542736020674,S,Third,woman,False,Southampton,yes,False,2
329,1,1,female,-1.3668762752627892,0,1,-0.056986690008245154,C,First,woman,False,Cherbourg,yes,False,1
330,1,3,female,-0.6471951147908197,2,0,-0.9707658835118664,Q,Third,woman,False,Queenstown,yes,False,2
331,0,1,male,-0.1823215567939547,0,0,-0.7671669282706269,S,First,man,True,Southampton,no,True,0
333,0,3,male,-1.3668762752627892,2,0,-1.226699257649067,S,Third,man,True,Southampton,no,False,2
338,1,3,male,-0.1941560144409575,0,0,-2.0313989241147596,S,Third,man,True,Southampton,yes,True,0
339,0,1,male,-0.1941560144409575,0,0,-0.5475383190638616,S,First,man,True,Southampton,no,True,0
342,0,2,male,-0.7129498078561249,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
344,0,2,male,-0.43531807125784566,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
345,1,2,female,-0.8873031950009028,0,0,-1.552121658083695,S,Second,woman,False,Southampton,yes,True,0
346,1,2,female,-0.3209077200801014,0,0,-1.552121658083695,S,Second,woman,False,Southampton,yes,True,0
347,1,3,female,-0.6471951147908197,1,0,-1.3382517435548142,S,Third,woman,False,Southampton,yes,False,1
348,1,3,male,-inf,1,1,-1.3507519063190458,S,Third,child,False,Southampton,yes,False,2
349,0,3,male,-0.2682639865946794,0,0,-1.95806765102921,S,Third,man,True,Southampton,no,True,0
350,0,3,male,-0.9360933591703348,0,0,-1.8951538256186409,S,Third,man,True,Southampton,no,True,0
351,0,1,male,-0.6471951147908197,0,0,-0.5617229540558181,S,First,man,True,Southampton,no,True,0
352,0,3,male,-1.4469189829363254,1,1,-2.1389426355658854,C,Third,child,False,Cherbourg,no,False,2
353,0,3,male,-0.84078317936601,1,0,-1.2378725582471921,S,Third,man,True,Southampton,no,False,1
356,1,1,female,-0.9873866535578852,0,1,-0.1097378303127608,S,First,woman,False,Southampton,yes,False,1
357,0,2,female,-0.3764775712349121,0,0,-1.552121658083695,S,Second,woman,False,Southampton,no,True,0
360,0,3,male,-0.3209077200801014,1,4,-0.7884443267179118,S,Third,man,True,Southampton,no,False,5
361,0,2,male,-0.6737290947028438,1,0,-0.7948879816111118,C,Second,man,True,Cherbourg,no,False,1
362,0,3,female,-0.1941560144409575,0,1,-1.4460859857800346,C,Third,woman,False,Cherbourg,no,False,1
363,0,3,male,-0.46608972992459924,0,0,-2.1640433987210543,S,Third,man,True,Southampton,no,True,0
365,0,3,male,-0.6359887667199967,0,0,-2.136069546678648,S,Third,man,True,Southampton,no,True,0
367,1,3,female,-0.6471951147908197,0,0,-2.1389426355658854,C,Third,woman,False,Cherbourg,yes,True,0
370,1,1,male,-0.84078317936601,1,0,-0.10173899735304433,C,First,man,True,Cherbourg,yes,False,1
371,0,3,male,-1.2237754316221159,1,0,-2.2459152013371604,S,Third,man,True,Southampton,no,False,1
372,0,3,male,-1.1592369104845446,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
374,0,3,female,-inf,3,1,-1.0689835116573125,S,Third,child,False,Southampton,no,False,4
376,1,3,female,-0.9873866535578852,0,0,-2.136069546678648,S,Third,woman,False,Southampton,yes,True,0
378,0,3,male,-1.0986122886681098,0,0,-2.7276565270890973,C,Third,man,True,Cherbourg,no,True,0
379,0,3,male,-1.1592369104845446,0,0,-2.066157557479934,S,Third,man,True,Southampton,no,True,0
382,0,3,male,-0.5645298027378518,0,0,-2.0470486957818874,S,Third,man,True,Southampton,no,True,0
383,1,1,female,-0.46608972992459924,1,0,-0.16582729696380435,S,First,woman,False,Southampton,yes,False,1
388,0,3,male,-0.6471951147908197,0,0,-2.0720656511865236,Q,Third,man,True,Queenstown,no,True,0
389,1,2,female,-1.2927683031090673,0,0,-1.6321643657572313,C,Second,woman,False,Cherbourg,yes,True,0
391,1,3,male,-1.0414538748281612,0,0,-2.063485888410623,S,Third,man,True,Southampton,yes,True,0
392,0,3,male,-0.7129498078561249,2,0,-2.0470486957818874,S,Third,man,True,Southampton,no,False,2
394,1,3,female,-0.8873031950009028,0,2,-1.3016622961225222,S,Third,woman,False,Southampton,yes,False,2
395,0,3,male,-0.9873866535578852,0,0,-2.063485888410623,S,Third,man,True,Southampton,no,True,0
396,0,3,female,-0.5996211225491219,0,0,-2.0560225949822875,S,Third,woman,False,Southampton,no,True,0
397,0,2,male,-0.17062551703076334,0,0,-0.8589744775237497,S,Second,man,True,Southampton,no,True,0
398,0,2,male,-0.9360933591703348,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
399,1,2,female,-0.7129498078561249,0,0,-1.5794138003717024,S,Second,woman,False,Southampton,yes,True,0
400,1,3,male,-0.34830669426821587,0,0,-2.0470486957818874,S,Third,man,True,Southampton,yes,True,0
401,0,3,male,-0.7963314167951762,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
402,0,3,female,-1.0414538748281612,1,0,-1.8321408577899068,S,Third,woman,False,Southampton,no,False,1
403,0,3,male,-0.7129498078561249,1,0,-1.353901515221942,S,Third,man,True,Southampton,no,False,1
404,0,3,female,-1.0986122886681098,0,0,-1.95806765102921,S,Third,woman,False,Southampton,no,True,0
405,0,2,male,-0.4978384282391796,1,0,-1.0725485778218087,S,Second,man,True,Southampton,no,False,1
406,0,3,male,-0.060624621816434854,0,0,-2.069378172179976,S,Third,man,True,Southampton,no,True,0
407,1,2,male,-inf,1,1,-1.185877263128812,S,Second,child,False,Southampton,yes,False,2
408,0,3,male,-1.0414538748281612,0,0,-2.066157557479934,S,Third,man,True,Southampton,no,True,0
411,0,3,male,-0.6471951147908197,0,0,-2.191611417929334,Q,Third,man,True,Queenstown,no,True,0
414,1,3,male,-0.21825356602001794,0,0,-2.0470486957818874,S,Third,man,True,Southampton,yes,True,0
415,0,3,female,-0.6471951147908197,0,0,-2.0313989241147596,S,Third,woman,False,Southampton,no,True,0
416,1,2,female,-0.4978384282391796,1,1,-0.6358309262095398,S,Second,woman,False,Southampton,yes,False,2
417,1,2,female,-1.2237754316221159,0,2,-1.552121658083695,S,Second,woman,False,Southampton,yes,False,2
419,0,3,female,-1.9859154836690123,0,2,-0.9327866354466501,S,Third,child,False,Southampton,no,False,2
421,0,3,male,-1.0414538748281612,0,0,-2.0715353358951942,Q,Third,man,True,Queenstown,no,True,0
422,0,3,male,-0.6737290947028438,0,0,-2.053377830833535,S,Third,man,True,Southampton,no,True,0
423,0,3,female,-0.7129498078561249,1,1,-1.4498428089632769,S,Third,woman,False,Southampton,no,False,2
424,0,3,male,-1.2237754316221159,1,1,-1.1107697906420066,S,Third,man,True,Southampton,no,False,2
426,1,2,female,-0.7129498078561249,1,0,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
427,1,2,female,-1.1592369104845446,0,0,-0.8589744775237497,S,Second,woman,False,Southampton,yes,True,0
429,1,3,male,-0.5645298027378518,0,0,-2.0313989241147596,S,Third,man,True,Southampton,yes,True,0
430,1,1,male,-0.7129498078561249,0,0,-0.838041267857284,S,First,man,True,Southampton,yes,True,0
432,1,2,female,-0.2682639865946794,1,0,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
433,0,3,male,-1.2927683031090673,0,0,-2.1534612893905174,S,Third,man,True,Southampton,no,True,0
434,0,1,male,-0.08167803101426724,1,0,-0.09350663538417824,S,First,man,True,Southampton,no,False,1
436,0,3,female,-1.0414538748281612,2,2,-0.5797414595584964,S,Third,woman,False,Southampton,no,False,4
437,1,2,female,-0.8873031950009028,2,3,-1.185877263128812,S,Second,woman,False,Southampton,yes,False,5
439,0,2,male,-0.5996211225491219,0,0,-1.765695758381754,S,Second,man,True,Southampton,no,True,0
440,1,2,female,-0.1941560144409575,1,1,-0.849405026507599,S,Second,woman,False,Southampton,yes,False,2
441,0,3,male,-1.0986122886681098,0,0,-1.8657792169387366,S,Third,man,True,Southampton,no,True,0
442,0,3,male,-0.84078317936601,1,0,-2.066157557479934,S,Third,man,True,Southampton,no,False,1
443,1,2,female,-0.7129498078561249,0,0,-1.552121658083695,S,Second,woman,False,Southampton,yes,True,0
444,1,3,male,-0.6471951147908197,0,0,-2.023664933515023,S,Third,man,True,Southampton,yes,True,0
446,1,2,female,-1.6292405397302803,0,1,-1.1466565499755306,S,Second,child,False,Southampton,yes,False,1
447,1,1,male,-0.4978384282391796,0,0,-0.838041267857284,S,First,man,True,Southampton,yes,True,0
448,1,3,female,-3.2386784521643803,2,1,-1.15912887890684,C,Third,child,False,Cherbourg,yes,False,3
449,1,1,male,-0.04000533461369925,0,0,-0.6993443319318657,S,First,man,True,Southampton,yes,True,0
450,0,2,male,-0.43531807125784566,1,2,-0.7938351753527881,S,Second,man,True,Southampton,no,False,3
451,0,3,male,-0.6471951147908197,1,0,-1.1230051296442496,S,Third,man,True,Southampton,no,False,1
452,0,1,male,-0.6359887667199967,0,0,-0.7938351753527881,C,First,man,True,Cherbourg,no,True,0
455,1,3,male,-0.6737290947028438,0,0,-2.0507400430154914,C,Third,man,True,Cherbourg,yes,True,0
457,1,1,female,-0.6471951147908197,1,0,-0.16847502988624555,S,First,woman,False,Southampton,yes,False,1
458,1,2,female,-0.08167803101426724,0,0,-1.765695758381754,S,Second,woman,False,Southampton,yes,True,0
460,1,1,male,-0.12516314295400605,0,0,-0.838041267857284,S,First,man,True,Southampton,yes,True,0
461,0,3,male,-0.4978384282391796,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
462,0,1,male,-0.14763599880606468,0,0,-0.4664127742514932,S,First,man,True,Southampton,no,True,0
463,0,2,male,-0.12516314295400605,0,0,-1.552121658083695,S,Second,man,True,Southampton,no,True,0
465,0,3,male,-0.3764775712349121,0,0,-2.1640433987210543,S,Third,man,True,Southampton,no,True,0
468,0,3,male,-0.6471951147908197,0,0,-2.0726091927614227,Q,Third,man,True,Queenstown,no,True,0
471,0,3,male,-0.3764775712349121,0,0,-1.95806765102921,S,Third,man,True,Southampton,no,True,0
472,1,2,female,-0.5306282510621704,1,2,-0.7938351753527881,S,Second,woman,False,Southampton,yes,False,3
473,1,2,female,-0.9360933591703348,0,0,-1.4930040536006062,C,Second,woman,False,Cherbourg,yes,True,0
474,0,3,female,-0.9873866535578852,0,0,-1.83086940180171,S,Third,woman,False,Southampton,no,True,0
475,0,1,male,-0.6471951147908197,0,0,-0.16582729696380435,S,First,man,True,Southampton,no,True,0
477,0,3,male,-0.6737290947028438,1,0,-2.1646393209282784,S,Third,man,True,Southampton,no,False,1
478,0,3,male,-0.9873866535578852,0,0,-2.0993985002630278,S,Third,man,True,Southampton,no,True,0
480,0,3,male,-2.1400661634962708,5,2,-0.26905334009299814,S,Third,child,False,Southampton,no,False,7
482,0,3,male,-0.08167803101426724,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
489,1,3,male,-2.1400661634962708,1,1,-1.3507519063190458,S,Third,child,False,Southampton,yes,False,2
491,0,3,male,-1.0414538748281612,0,0,-2.136069546678648,S,Third,man,True,Southampton,no,True,0
495,0,3,male,-0.6471951147908197,0,0,-1.44580237142448,C,Third,man,True,Cherbourg,no,True,0
497,0,3,male,-0.6471951147908197,0,0,-1.402376271724353,S,Third,man,True,Southampton,no,True,0
499,0,3,male,-0.8873031950009028,0,0,-2.063485888410623,S,Third,man,True,Southampton,no,True,0
501,0,3,female,-1.0414538748281612,0,0,-2.069378172179976,Q,Third,woman,False,Queenstown,no,True,0
502,0,3,female,-0.6471951147908197,0,0,-2.0850880250250974,Q,Third,woman,False,Queenstown,no,True,0
503,0,3,female,-0.40546510810816444,0,0,-1.8566108488518571,S,Third,woman,False,Southampton,no,True,0
506,1,2,female,-0.5306282510621704,0,2,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,2
507,1,1,male,-0.6471951147908197,0,0,-0.838041267857284,S,First,man,True,Southampton,yes,True,0
508,0,3,male,-0.7129498078561249,0,0,-1.0024452120508303,S,Third,man,True,Southampton,no,True,0
509,1,3,male,-0.7963314167951762,0,0,-0.08290471643910076,S,Third,man,True,Southampton,yes,True,0
510,1,3,male,-0.6737290947028438,0,0,-2.069378172179976,Q,Third,man,True,Queenstown,yes,True,0
512,1,1,male,-0.43531807125784566,0,0,-0.8479774745164135,S,First,man,True,Southampton,yes,True,0
513,1,1,female,0.0,1,0,-0.03277678917663257,C,First,woman,False,Cherbourg,yes,False,1
514,0,3,male,-0.8873031950009028,0,0,-2.1027281518615304,S,Third,man,True,Southampton,no,True,0
515,0,1,male,-0.14763599880606468,0,0,-0.5900989132749317,S,First,man,True,Southampton,no,True,0
516,1,2,female,-0.4978384282391796,0,0,-1.765695758381754,S,Second,woman,False,Southampton,yes,True,0
517,0,3,male,-0.6471951147908197,0,0,-0.9327866354466501,Q,Third,man,True,Queenstown,no,True,0
518,1,2,female,-0.43531807125784566,1,0,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
519,0,3,male,-0.5645298027378518,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
523,1,1,female,-0.21825356602001794,0,1,-0.056986690008245154,C,First,woman,False,Cherbourg,yes,False,1
524,0,3,male,-0.6471951147908197,0,0,-2.1389426355658854,C,Third,man,True,Cherbourg,no,True,0
525,0,3,male,-0.3074846997479607,0,0,-2.069378172179976,Q,Third,man,True,Queenstown,no,True,0
528,0,3,male,-0.34830669426821587,0,0,-2.0470486957818874,S,Third,man,True,Southampton,no,True,0
529,0,2,male,-0.9360933591703348,2,1,-1.6747239801760272,S,Second,man,True,Southampton,no,False,3
532,0,3,male,-1.2927683031090673,1,1,-2.1389426355658854,C,Third,man,True,Cherbourg,no,False,2
533,1,3,female,-0.6471951147908197,0,2,-1.0098733987711959,C,Third,woman,False,Cherbourg,yes,False,2
534,0,3,female,-0.6359887667199967,0,0,-1.95806765102921,S,Third,woman,False,Southampton,no,True,0
535,1,2,female,-2.545531271604435,0,2,-0.849405026507599,S,Second,child,False,Southampton,yes,False,2
536,0,1,male,-0.1941560144409575,0,0,-0.838041267857284,S,First,man,True,Southampton,no,True,0
538,0,3,male,-0.6471951147908197,0,0,-1.442922366118703,S,Third,man,True,Southampton,no,True,0
539,1,1,female,-0.9873866535578852,0,2,-0.21509834597058705,C,First,woman,False,Cherbourg,yes,False,2
541,0,3,female,-2.1400661634962708,4,2,-0.674251959192257,S,Third,child,False,Southampton,no,False,6
542,0,3,female,-1.8523840910444898,4,2,-0.674251959192257,S,Third,child,False,Southampton,no,False,6
543,1,2,male,-0.5645298027378518,1,0,-0.8589744775237497,S,Second,man,True,Southampton,yes,False,1
546,1,2,female,-1.1592369104845446,1,0,-0.8589744775237497,S,Second,woman,False,Southampton,yes,False,1
547,1,2,male,-0.6471951147908197,0,0,-1.4878836628687462,C,Second,man,True,Cherbourg,yes,True,0
548,0,3,male,-0.5306282510621704,1,1,-1.09542736020674,S,Third,man,True,Southampton,no,False,2
549,1,2,male,-2.322387720290225,1,1,-0.512932789886386,S,Second,child,False,Southampton,yes,False,2
551,0,2,male,-0.7537718023763802,0,0,-0.8589744775237497,S,Second,man,True,Southampton,no,True,0
552,0,3,male,-0.6471951147908197,0,0,-2.059210681899,Q,Third,man,True,Queenstown,no,True,0
553,1,3,male,-0.9873866535578852,0,0,-2.139523781546736,C,Third,man,True,Cherbourg,yes,True,0
554,1,3,female,-0.9873866535578852,0,0,-2.066157557479934,S,Third,woman,False,Southampton,yes,True,0
556,1,1,female,-0.12516314295400605,1,0,-0.4382418972847968,C,First,woman,False,Cherbourg,yes,False,1
559,1,3,female,-0.43531807125784566,1,0,-1.2606008093247485,S,Third,woman,False,Southampton,yes,False,1
561,0,3,male,-0.3209077200801014,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
562,0,2,male,-0.7129498078561249,0,0,-1.514381330100848,S,Second,man,True,Southampton,no,True,0
565,0,3,male,-0.8873031950009028,2,0,-0.9327866354466501,S,Third,man,True,Southampton,no,False,2
566,0,3,male,-1.1592369104845446,0,0,-2.0507400430154914,S,Third,man,True,Southampton,no,True,0
567,0,3,female,-0.6737290947028438,0,4,-1.0689835116573125,S,Third,woman,False,Southampton,no,False,4
569,1,3,male,-0.5645298027378518,0,0,-2.0560225949822875,S,Third,man,True,Southampton,yes,True,0
571,1,1,female,-0.019802627296179643,2,0,-0.17589317295359314,S,First,woman,False,Southampton,yes,False,2
572,1,1,male,-0.43531807125784566,0,0,-0.8441806023707928,S,First,man,True,Southampton,yes,True,0
574,0,3,male,-1.3668762752627892,0,0,-2.0313989241147596,S,Third,man,True,Southampton,no,True,0
575,0,3,male,-1.1592369104845446,0,0,-1.442922366118703,S,Third,man,True,Southampton,no,True,0
576,1,2,female,-0.4978384282391796,0,0,-1.552121658083695,S,Second,woman,False,Southampton,yes,True,0
577,1,1,female,-0.34830669426821587,1,0,-0.09350663538417824,S,First,woman,False,Southampton,yes,False,1
578,0,3,female,-0.6471951147908197,1,0,-1.44580237142448,C,Third,woman,False,Cherbourg,no,False,1
579,1,3,male,-0.5645298027378518,0,0,-2.0470486957818874,S,Third,man,True,Southampton,yes,True,0
580,1,2,female,-0.84078317936601,1,1,-0.7158736338830763,S,Second,woman,False,Southampton,yes,False,2
582,0,2,male,0.0,0,0,-0.8589744775237497,S,Second,man,True,Southampton,no,True,0
583,0,1,male,-0.43531807125784566,0,0,-0.4250714340950519,C,First,man,True,Cherbourg,no,True,0
584,0,3,male,-0.6471951147908197,0,0,-1.9523122394585894,C,Third,man,True,Cherbourg,no,True,0
586,0,2,male,-0.14763599880606468,0,0,-1.4090208144430216,S,Second,man,True,Southampton,no,True,0
